,amm_FEB,amm_MAY,amm_OCT,amo_FEB,amo_APR,amo_SEP,ao_APR,ao_OCT,epo_FEB,epo_JUN,epo_AUG,epo_SEP,ngst_FEB,ngst_OCT,mdrolr_OCT,mdrslp_JAN,mdrslp_OCT,nao_MAY,pna_JUL,pna_OCT,sfi_FEB,soi_JUN,tna_FEB,tna_MAY,tna_AUG,tna_NOV,tsa_MAR,tsa_SEP,tsa_NOV,whwp_JUL,whwp_AUG,whwp_DEC,wpi_DEC,nino4_JUL,roni_MAY,gomslp_MAR,gomslp_JUL,gomslp_OCT,gomolr_MAY,mdrt200_OCT,mdru850_OCT,mdrv200_JUN,mdrv200_JUL,mdrv200_AUG,mdrv850_MAR,mdrv850_JUL,mdrv850_AUG,gomu850_JUL,gomv200_NOV,nino34_forecast_JUN,nino34_forecast_JUL,nino34_forecast_AUG
21,-2.15,-3.32,-0.26,-0.3,-0.3,-0.35,1.007,1.185,0.15,-0.28,1.78,-0.39,-52,-16.0,244.781,1014.631,1013.666,0.93,-1.74,-1.35,1418,0.7,-0.38,-0.46,-0.46,-0.13,-0.18,-0.16,-0.68,-1.55,-3.01,-0.32,0.45,27.69,1.07,1014.619,1015.83,1014.058,262.967,-54.829,-5.912,0.791,0.356,0.141,0.053,0.377,0.254,-3.306,5.703,0.8,1.2,1.4
22,-5.69,-2.54,-4.5,-0.21,-0.14,-0.38,-1.126,0.392,0.95,-2.96,1.76,0.93,43,-4.0,243.799,1015.953,1013.138,-0.36,-1.13,-1.49,987,-0.9,-0.3,0.04,-0.44,-0.09,0.59,0.23,0.44,-0.66,-1.47,0.65,0.71,29.03,-0.86,1013.063,1016.683,1015.31,265.945,-54.007,-5.036,0.044,0.205,0.267,-0.218,0.458,0.212,-4.591,5.048,-0.83,-1.18,-1.31
23,-2.91,-6.22,-2.4,-0.2,-0.55,-0.09,0.309,0.337,-1.12,-1.3,-0.1,0.68,-35,-8.0,239.134,1015.415,1012.591,-0.17,-0.26,-0.74,809,1.8,-0.51,-0.89,-0.16,-0.23,0.15,0.75,0.54,-0.57,-1.08,-0.3,0.43,27.85,-0.84,1015.538,1015.286,1014.306,265.5,-53.775,-5.9,0.393,0.425,-0.349,-1.07,-0.004,0.344,-2.319,5.015,-0.85,-0.55,-0.21
24,-2.4,-3.16,-3.46,-0.13,-0.27,-0.57,0.409,-1.024,-0.5,-2.29,2.42,2.56,9,-23.0,242.566,1015.112,1013.538,-0.43,-0.09,0.93,742,0.7,-0.41,-0.7,-0.39,-0.51,-0.15,0.14,0.25,-2.83,-3.2,-0.18,-0.89,27.74,-0.54,1014.012,1016.476,1017.969,272.531,-54.648,-6.034,1.015,1.016,0.693,-0.543,-0.253,-0.009,-2.494,5.775,-1.15,-1.04,-1.2
25,-1.1,-2.81,-1.35,-0.37,-0.3,-0.25,0.44,0.138,0.07,-2.09,0.99,0.81,-12,-18.0,233.827,1014.81,1013.469,0.94,-1.53,-0.65,705,2.1,-0.48,-0.79,-0.15,-0.39,-0.48,-0.24,-0.03,-2.58,-3.62,-0.32,-1.01,27.37,0.0,1015.567,1015.36,1015.779,257.093,-54.671,-6.786,0.925,0.397,0.373,-0.883,0.055,0.104,-2.199,6.462,-0.0,0.17,0.38
26,-1.57,-0.08,0.82,-0.23,-0.08,-0.18,1.329,-0.804,-1.4,-0.03,0.23,1.82,11,-51.0,235.322,1014.803,1012.395,-0.75,-0.12,0.91,823,0.4,-0.22,-0.07,0.07,0.04,0.0,-0.32,-0.45,-2.35,-2.27,-0.25,-1.11,28.18,0.17,1014.603,1016.824,1015.225,262.812,-53.825,-4.726,0.343,0.753,0.77,0.021,0.437,0.385,-3.27,11.138,0.39,0.42,0.25
27,2.0,2.05,-2.41,-0.01,-0.05,-0.17,-0.967,-0.009,0.48,-0.24,1.69,-0.47,4,-2.0,232.276,1016.006,1014.001,1.05,-1.04,1.25,1454,-1.5,0.2,0.08,-0.28,-0.26,-0.45,0.03,-0.08,-0.65,-2.0,0.01,-0.67,28.84,-0.32,1016.823,1016.926,1015.896,272.034,-53.93,-6.364,1.158,0.912,-0.191,-0.182,0.115,0.327,-3.791,6.036,-0.33,-0.22,-0.53
28,2.5,2.42,0.51,-0.05,-0.07,-0.12,-1.157,0.895,-0.18,0.5,0.77,-0.48,-36,0.0,244.358,1014.178,1013.248,-0.9,-2.43,0.69,2041,1.1,0.28,0.35,-0.33,0.01,-0.31,-0.35,-0.43,-1.35,-2.03,-0.11,1.3,28.28,0.03,1016.994,1015.401,1015.791,265.203,-54.245,-5.677,0.718,0.794,0.391,-0.4,-0.068,0.319,-3.093,3.714,0.08,-0.13,0.16
29,3.35,5.1,-0.26,0.12,0.2,-0.03,-0.419,-1.243,0.86,-0.48,1.82,0.58,40,23.0,230.988,1014.986,1013.144,-1.34,0.51,1.85,2000,1.1,0.41,0.71,0.08,0.11,-0.26,0.29,0.06,-0.58,-0.91,-0.22,0.03,28.7,0.27,1014.742,1015.31,1013.821,272.717,-52.686,-5.287,0.771,0.462,0.304,-0.537,0.3,0.081,-2.772,7.148,0.59,0.28,-0.11
30,2.78,3.68,0.22,0.0,0.08,0.03,0.43,-0.521,-0.03,1.59,-0.15,0.43,62,12.0,239.714,1014.977,1014.171,0.24,-0.81,2.87,2045,-0.0,0.16,0.36,0.29,0.03,-0.64,0.11,-0.25,-0.01,0.33,-0.17,-2.41,28.92,-0.32,1015.411,1015.391,1015.761,272.07,-53.372,-6.154,-0.0,0.99,0.015,-0.135,0.134,0.31,-2.567,12.091,-0.19,-0.37,-0.32
