,amm_FEB,amm_MAY,amm_OCT,amo_FEB,amo_APR,amo_SEP,ao_APR,ao_OCT,epo_FEB,epo_JUN,epo_AUG,epo_SEP,ngst_FEB,ngst_OCT,mdrolr_OCT,mdrslp_JAN,mdrslp_OCT,nao_MAY,pna_JUL,pna_OCT,sfi_FEB,soi_JUN,tna_FEB,tna_MAY,tna_AUG,tna_NOV,tsa_MAR,tsa_SEP,tsa_NOV,whwp_JUL,whwp_AUG,whwp_DEC,wpi_DEC,nino4_JUL,roni_MAY,gomslp_MAR,gomslp_JUL,gomslp_OCT,gomolr_MAY,mdrt200_OCT,mdru850_OCT,mdrv200_JUN,mdrv200_JUL,mdrv200_AUG,mdrv850_MAR,mdrv850_JUL,mdrv850_AUG,gomu850_JUL,gomv200_NOV,nino34_forecast_JUN,nino34_forecast_JUL,nino34_forecast_AUG
11,1.96,2.82,-0.54,0.17,0.04,-0.03,1.169,0.203,1.66,-0.61,0.31,-0.91,36,-4.0,235.628,1015.671,1012.671,-0.04,-0.52,-1.94,1022,0.2,0.12,0.36,0.09,-0.06,-0.11,0.03,-0.06,-0.9,0.39,-0.32,-2.92,28.19,-0.42,1014.718,1016.89,1015.568,275.389,-54.071,-5.223,1.34,0.416,0.383,-0.531,-0.309,-0.162,-3.494,-1.421,-0.14,-0.0,0.02
12,3.07,-0.21,0.41,0.07,0.01,-0.1,-0.348,-0.016,1.07,0.26,-0.22,-0.15,50,13.0,238.316,1014.313,1013.354,2.05,-0.36,1.33,797,1.2,0.51,0.14,0.19,0.3,0.27,-0.08,0.01,0.96,2.51,-0.24,-0.68,28.13,0.0,1016.888,1016.18,1015.161,264.49,-53.834,-4.362,0.332,0.493,0.223,-0.604,-0.026,-0.05,-2.377,2.499,0.39,1.02,1.17
13,0.21,1.5,-2.34,-0.05,-0.28,-0.22,0.663,1.069,-2.52,-2.46,1.74,1.02,-2,42.0,243.231,1015.175,1012.907,0.53,-1.1,0.93,768,-0.8,0.28,0.08,0.13,0.17,0.33,0.41,0.69,-0.24,2.47,-0.1,0.02,28.62,-0.65,1015.477,1015.773,1016.37,262.663,-53.532,-3.783,1.636,1.085,0.729,-0.896,-0.166,-0.242,-2.916,1.339,-0.64,-0.43,-0.72
14,-1.26,-1.84,0.28,-0.23,-0.12,-0.35,0.568,0.342,-0.93,1.9,0.78,0.16,-37,-31.0,240.624,1014.575,1013.486,-0.52,0.2,0.8,752,1.2,-0.25,-0.21,-0.2,-0.09,0.11,-0.68,-0.63,-0.5,-1.13,-0.32,-0.43,27.79,0.7,1015.73,1015.368,1015.565,262.469,-54.861,-5.621,-0.3,0.292,0.434,-0.561,0.011,-0.104,-2.729,8.289,0.86,1.14,1.66
15,2.12,2.26,-2.64,-0.05,0.02,-0.34,-1.837,0.394,-0.55,-1.56,2.32,2.26,3,-2.0,240.157,1014.322,1013.17,0.25,-1.26,1.42,842,-0.9,0.37,0.36,-0.2,-0.09,-0.39,-0.03,-0.3,-0.61,-1.14,0.31,0.38,28.91,0.1,1017.572,1016.068,1015.58,257.497,-53.946,-5.397,1.223,0.85,0.558,-0.561,0.226,0.096,-2.798,-0.663,0.29,0.42,0.02
16,0.1,0.84,0.11,-0.01,-0.03,-0.11,1.7,-1.077,-0.56,0.23,0.63,1.58,-37,-10.0,239.66,1014.733,1012.643,-0.87,-1.18,-0.61,1470,0.5,-0.0,-0.16,0.03,0.35,-0.03,-0.07,0.21,-0.21,0.45,-0.32,-1.34,28.98,-0.12,1017.852,1014.404,1014.52,273.175,-53.811,-5.104,-0.546,-0.16,0.09,-0.688,0.408,-0.034,-2.592,0.135,0.12,0.06,-0.03
17,0.68,-0.14,-0.43,-0.21,-0.18,-0.21,0.328,1.299,-0.65,0.88,1.1,0.35,-16,30.0,239.096,1014.96,1013.653,-1.58,-1.24,1.1,1732,1.1,-0.11,-0.09,-0.3,-0.33,-0.26,-0.35,-0.4,-1.99,-2.77,-0.3,-0.56,28.52,-0.13,1018.476,1017.01,1016.091,257.883,-54.636,-5.708,0.795,0.75,0.692,-1.03,0.07,0.175,-2.839,3.451,0.52,0.66,0.54
18,2.86,3.17,-1.44,0.09,0.13,-0.21,0.438,-1.013,-0.58,-0.73,0.75,-0.91,-46,-1.0,245.147,1012.914,1013.453,0.56,-0.04,0.45,1552,1.8,0.74,0.73,-0.14,0.17,0.38,0.29,0.49,-0.94,0.0,-0.14,0.64,28.55,0.48,1015.401,1017.295,1014.473,258.093,-54.35,-6.759,-0.419,0.549,0.731,-0.216,0.116,0.132,-3.675,8.76,0.35,0.18,0.56
19,4.2,3.58,-0.52,-0.09,-0.01,-0.1,0.302,0.098,0.61,3.19,-0.14,0.09,27,3.0,235.757,1015.277,1012.316,1.11,0.51,0.55,1754,0.3,0.64,0.51,0.34,0.34,-0.2,-0.09,-0.07,4.65,1.94,-0.19,0.57,28.73,0.04,1014.016,1015.094,1012.762,260.876,-53.583,-4.09,-0.695,0.419,-0.523,-0.399,0.37,0.494,-2.802,1.605,-0.31,-0.7,-0.87
20,-0.17,-3.56,0.31,-0.25,-0.41,-0.18,-0.583,0.098,-1.99,-0.72,0.93,-0.27,-21,-20.0,248.345,1014.539,1012.377,0.51,0.74,-0.95,1378,1.6,-0.03,-0.46,-0.07,-0.02,-0.06,-0.22,-0.2,-1.28,-0.55,-0.32,0.57,28.44,-0.34,1015.817,1015.838,1013.85,273.861,-54.001,-5.091,0.238,0.054,0.199,-0.86,0.318,0.297,-3.373,3.635,-0.78,-0.82,-0.79
